scrape_order,scrape_start_url,category,category_url,product_url,product_text,model,tyre_image_url,brand_image_url
1749739928-1,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,PracticalMax HP RS26,,
1749739928-2,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,285/50 R20 116W,,
1749739928-3,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,EfficientGrip 2 SUV,,
1749739928-4,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,285/50 R20 112V,,
1749739928-5,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,Open Country U/T,,
1749739928-6,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,285/50 R20 116V,,
1749739928-7,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,Ecsta PS71,,
1749739928-8,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,285/50 R20 116W,,
1749739928-9,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,AZ610,,
1749739928-10,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,285/50 R20 112V,,
1749739928-11,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,Payak R601,,
1749739928-12,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,285/50 R20 112V,,
1749739928-13,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,Citytraxx H/T,,
1749739928-14,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,285/50 R20 116H,,
1749739928-15,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,Camarga,,
1749739928-16,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,285/50 R20 112V,,
1749739928-17,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,https://media.tyresonline.ae/media/mgs_brand/m/i/michelin_logo_cropped_full_height.jpg,
1749739928-18,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,https://media.tyresonline.ae/media/catalog/product/cache/d5b399ab869dbd0c30ff5c88fd874a65/car-tyres/habilead-practicalmax-hp-rs26.png,
1749739928-19,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,https://media.tyresonline.ae/media/catalog/product/cache/d5b399ab869dbd0c30ff5c88fd874a65/tyresonline-tyres/goodyear-efficientgrip-2-suv_1.jpg,
1749739928-20,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,https://media.tyresonline.ae/media/catalog/product/cache/d5b399ab869dbd0c30ff5c88fd874a65/tyresonline-tyres/ut_3.png,
1749739928-21,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,https://media.tyresonline.ae/media/catalog/product/cache/d5b399ab869dbd0c30ff5c88fd874a65/car-tyres/kumho_ecsta_ps71.jpg,
1749739928-22,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,https://media.tyresonline.ae/media/catalog/product/cache/d5b399ab869dbd0c30ff5c88fd874a65/6/3/63a435f3774fa6707642c543-4-26575r16-atturo-az610-116t-sl4-ply-bsw_1__6.jpg,
1749739928-23,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,https://media.tyresonline.ae/media/catalog/product/cache/d5b399ab869dbd0c30ff5c88fd874a65/car-tyres/deestone-payak-r601.jpg,
1749739928-24,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,
1749739928-25,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,
1749739928-26,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,
1749739928-27,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,
1749739928-28,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,
1749739928-29,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,
1749739928-30,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,
1749739928-31,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,
1749739928-32,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,
1749739928-33,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,
1749739928-34,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,
1749739928-35,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,
1749739928-36,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,
1749739928-37,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,
1749739928-38,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,
1749739928-39,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,
1749739928-40,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,https://media.tyresonline.ae/media/mgs_brand/h/a/habilead-logo_1.png
1749739928-41,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,https://media.tyresonline.ae/media/mgs_brand/g/o/goodyear_1.png
1749739928-42,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,https://media.tyresonline.ae/media/mgs_brand/t/o/toyo_1.png
1749739928-43,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,https://media.tyresonline.ae/media/mgs_brand/k/u/kumho_1.png
1749739928-44,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,https://media.tyresonline.ae/media/mgs_brand/a/t/atturo_1.png
1749739928-45,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,https://media.tyresonline.ae/media/mgs_brand/d/e/deestone_1.jpg
1749739928-46,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,https://media.tyresonline.ae/media/images/section/blank.png
1749739928-47,https://www.tyresonline.ae/en/all-tyres/car-tyres.html,Tyres,https://www.tyresonline.ae/en/all-tyres,https://www.tyresonline.ae/en/michelin-285-50-r20-116h-lt-a-s-2025.html,LT A/S 285/50 R20 116H,nan,,https://media.tyresonline.ae/media/images/section/blank.png
